date,name_home_team,name_away_team,score_home,score_away,shots_home,shots_away,passes_home,passes_away,misplaced_passes_home,misplaced_passes_away,pass_accuracy_home,pass_accuracy_away,distance_home,distance_away,grade,summary_german,summary_english,coach_home,coach_away,interview_home,interview_away,interview_home_english,interview_away_english
"16.08.2019, 20:30",Bayern München,Hertha BSC,2,2,17,6,661,282,79,81,88,71,114.47,119.19,"2,0","Unterhaltsame Partie, Hertha wehrte sich gut und nutzte gegen dominante, aber fehleranfällige Bayern seine Chancen.","Entertaining game, Hertha resisted well and used his chances against dominant, but error-prone Bayern.",Niko Kovac,Ante Covic,"Wir haben die Dominanz und Chancen gehabt. Die Mannschaft hat 90 Minuten versucht, das Spiel zu gewinnen – und darauf bin ich stolz. Meine Mannschaft hat 90 Minuten lang versucht, dieses Spiel zu gewinnen. Ich kann meinen Jungs keinen Vorwurf machen. Kompliment an Ante und Hertha für diese Leistung!","Wir wussten von vornherein, dass wir einige gute Momente haben müssen, um aus München etwas mitzunehmen. Nach dem 0:1 hätten sicherlich nicht mehr viele auf uns gesetzt. Uns war aber klar, dass wir den Bayern wehtun können.",We had the dominance and the chances. The team tried 90 minutes to win the game - and I'm proud of that. My team tried to win this game for 90 minutes. I can't blame my boys. Compliments to Ante and Hertha for this achievement!,"We knew from the start that we had to have some good moments in order to take something back from Munich. After the 0: 1, not many would have bet on us. But it was clear to us that we could hurt Bayern."
"17.08.2019, 15:30",Borussia Dortmund,FC Augsburg,5,1,22,5,886,246,68,69,92,72,110.57,113.09,"2,0","Zwar einseitig, angesichts der Dortmunder Spielfreude und Chancenfülle aber sehr unterhaltsam.","One-sided, but very entertaining in view of Dortmund's joy in playing and the abundance of opportunities.",Lucien Favre,Martin Schmidt,"Wir waren sehr früh überrascht über das 0:1 nach 30 Sekunden. Doch wir sind sehr ruhig geblieben und haben schnell das 1:1 gemacht. Das Tempo haben wir im zweiten Durchgang erhöht, das war sehr gut. Das Ergebnis war dann eindeutig und verdient. Wir haben aber auch noch an ein paar Sachen zu arbeiten. Wir wollen jeden Tag besser werden. Wichtig für mich ist, dass die Spieler Fortschritte machen – individuell aber auch im Kollektiv.","Nach der Führung haben wir umgehend das 1:1 kassiert, da war die Euphorie gleich wieder weg. Dennoch waren wir im Spiel und gehen mit 1:1 in die Pause. Nach dem Wechsel war die Körperlichkeit etwas weg, wir haben viele Bälle zu schnell verloren und haben so keine Entlastung mehr bekommen. Wir haben es nicht geschafft, das Tempo des Gegners auf den Außenbahnen zu verteidigen, wobei man auch sagen muss, dass es einige klassische BVB-Tore waren, bei denen man die Qualität des BVB gesehen hat. Dortmund hat letztlich verdient gewonnen und wir haben gesehen, dass wir viel Arbeit vor uns haben.","We were surprised very early about the 0: 1 after 30 seconds. But we stayed very calm and quickly made it 1-1. We increased the pace in the second run, that was very good. The result was then clear and deserved. But we still have a few things to work on. We want to get better every day. It is important for me that the players make progress - individually but also as a group.","After the tour we immediately got the 1: 1 and the euphoria was gone again. Still, we were in the game and we're going into the break 1-1. After the change, the physicality was a bit gone, we lost a lot of balls too quickly and so we couldn't get any more relief. We didn't manage to defend the opponent's pace on the flanks, although it has to be said that there were some classic BVB goals where you could see the quality of BVB. In the end, Dortmund deserved to win and we saw that we had a lot of work to do."
"17.08.2019, 15:30",Bayer 04 Leverkusen,SC Paderborn 07,3,2,13,9,763,267,103,95,87,64,122.81,123.08,"1,5","Hochintensive Partie mit zahlreichen Chancen vor der Pause, danach nicht mehr so wild, aber spannend und unterhaltsam.","Highly intense game with numerous chances before the break, then not so wild, but exciting and entertaining.",Peter Bosz,Steffen Baumgart,"Mit dem Ergebnis bin ich sehr zufrieden, mit der Art und Weise noch nicht. Es ist immer wichtig, das Auftaktspiel zu gewinnen. Wir haben einen offenen Schlagabtausch gesehen. Das ist das, was wir nicht wollten. Wir wollten das Spiel kontrollieren, hatten in der ersten Halbzeit aber kaum Kontrolle.","Die Jungs haben einen guten Job gemacht. Wichtig für uns war, dass wir leistungsmäßig bestanden haben.","I'm very satisfied with the result, but not yet with the way it was done. It is always important to win the opening game. We saw an open exchange of blows. That's what we didn't want. We wanted to control the game, but we had little control in the first half.",The guys did a good job. It was important for us that we passed in terms of performance.
"17.08.2019, 15:30",VfL Wolfsburg,1. FC Köln,2,1,15,11,377,411,96,99,75,76,116.85,111.96,"4,0","Wenig Torraumszenen, dafür viel Kampf im Mittelfeld.","Few goal area scenes, but a lot of fighting in midfield.",Oliver Glasner,Achim Beierlorzer,"Wir sind sehr zufrieden, dass wir das Auftaktspiel gegen einen sehr ambitionierten und schwer zu bespielenden 1. FC Köln gewinnen konnten. Sie haben uns früh unter Druck gesetzt und uns ist es zunächst nicht gelungen, uns schnell genug daraus zu befreien. Dann haben wir zum richtigen Zeitpunkt das 1:0 gemacht, waren danach aber zu passiv. Das haben wir in der Halbzeit angesprochen und wir sind auch viel besser aus der Pause rausgekommen.","Vom Ergebnis bin ich enttäuscht. Ich habe ein ordentliches Spiel meiner Mannschaft gesehen. Wir haben mutig begonnen und dann in einer Phase, wo wir die Partie in den Griff bekamen, das Traumtor von Maximilian Arnold kassiert. Wir haben uns davon nicht irritieren lassen und versucht, weiter nach vorne zu spielen. In der zweiten Hälfte hat Wolfsburg besser zugestellt und das 0:2 war dann sehr bitter für uns.","We are very satisfied that we were able to win the opening game against a very ambitious and difficult to play 1. FC Köln. They put us under pressure early on and at first we didn't manage to get out of it quickly enough. Then we made it 1-0 at the right time, but we were too passive after that. We mentioned that at half-time and we got out of the break much better.",I am disappointed with the result. I saw my team play a decent game. We started boldly and then conceded Maximilian Arnold's dream goal at a time when we got the game under control. We didn't let that irritate us and tried to keep playing forward. Wolfsburg delivered better in the second half and the 2-0 win was very bitter for us.
"17.08.2019, 15:30",Werder Bremen,Fortuna Düsseldorf,1,3,24,12,639,308,81,72,87,77,115.24,117.77,"3,0",Über weite Strecken intensive und spannende Partie auf ordentlichem fußballerischem Niveau.,"Over long stretches, an intense and exciting game at a decent football level.",Florian Kohfeldt,Friedhelm Funkel,"Wir hatten enorm viel Spielkontrolle in den ersten 20 Minuten. Das erste Gegentor war mehr als unglücklich, danach haben wir den Faden verloren. In der zweiten Halbzeit hatten wir enorm viel Chancen, aber Düsseldorf war brutal effektiv. Wir sollten uns nichts schönreden und müssen wach sein. Wir waren vor dem gegnerischen Tor nicht abgeklärt und hinten nicht konsequent genug. Wir brauchen aber nicht zweifeln, weil wir keinen schlechten Fußball gespielt haben.","Natürlich sind wir sehr, sehr glücklich, dass wir das Auftaktspiel gewonnen haben. Wir wussten, dass es sehr schwer werden würde, und hatten in der Tat deutlich weniger Spielanteile. Dennoch sind wir glücklich in Führung gegangen. Nach dem Ausgleich haben wir weiter versucht, nach vorne zu spielen. So haben wir das zweite und das dritte Tor erzielt. Aber wir waren nicht offen, weil wir nicht ausgekontert werden wollten. In einigen Situationen hatten wir Glück, dass Bremen entweder nicht gut genug abgeschlossen hat oder dass Zack Steffen fantastisch gehalten hat. Wir sind zufrieden mit dem Auftakt, aber wir müssen uns fußballerisch steigern.","We had a lot of control over the game in the first 20 minutes. The first goal we conceded was more than unfortunate, then we lost the thread. We had a lot of chances in the second half, but Düsseldorf was brutally effective. We shouldn't pretend anything and have to be awake. We weren't cleared up in front of the opposing goal and weren't consistent enough at the back. But we don't have to doubt because we didn't play bad football.","Of course we are very, very happy that we won the opening game. We knew it was going to be very difficult and, in fact, we had a lot less play. Nevertheless, we happily took the lead. After we equalized, we kept trying to play forward. That's how we scored the second and third goals. But we weren't open because we didn't want to be countered. In some situations we were lucky that Bremen either didn't finish well enough or that Zack kept Steffen fantastic. We're happy with the start, but we have to improve in terms of football."
"17.08.2019, 15:30",SC Freiburg,1. FSV Mainz 05,3,0,19,19,400,372,88,87,78,77,112.51,107.96,"2,5",Zwischen einem flotten Beginn und einer torreichen Schlussphase gab es auch ein paar Längen.,There were also a few lengths between a brisk start and a high-scoring final phase.,Christian Streich,Sandro Schwarz,"Es war sehr ausgeglichen, beide Teams können in Führung gehen. Wir hatten Probleme nach der Pause. Dann hatten wir aber zwei individuell herausragende Momente. Ich bin total glücklich.",Es war ein kurioses Spiel. Wir hatten alles im Griff und wollten den Spielverlauf auf unsere Seite ziehen. Dann haben wir kurz die Ordnung verloren und Freiburg nutzt das eiskalt aus. Wir werden das analysieren und unsere Schlüsse daraus ziehen.,"It was very even, both teams can take the lead. We had problems after the break. But then we had two individually outstanding moments. I'm very happy.",It was a strange game. We had everything under control and wanted to get the game over to our side. Then we briefly lost order and Freiburg takes advantage of it as ice-cold. We will analyze that and draw our conclusions from it.
"17.08.2019, 18:30",Bor. Mönchengladbach,FC Schalke 04,0,0,16,8,519,351,101,102,81,71,112.24,115.64,"3,5","Rassiges  Duell, dem jedoch die spielerischen Glanzlichter fehlten.","Classy duel, which however lacked the playful highlights.",Marco Rose,David Wagner,"Die Leistung war in Ordnung, wir haben wieder einen kleinen Schritt nach vorne gemacht. Es waren viele positive Ansätze dabei, viele Dinge, die wir für unser Spiel brauchen: Wir hatten einige gute Ballgewinne und haben versucht, schnell Tiefe zu finden, vor allem in der zweiten Halbzeit. Es war aber noch nicht oft genug, das müssen wir zukünftig noch besser machen, auch das Positionsspiel. Insgesamt haben wir aber wenig Chancen zugelassen und hatten selber drei-, viermal die Möglichkeit, das Spiel für uns zu entscheiden.","Die beiden Mannschaften haben sich gegenseitig bekämpft und gepresst. Es gab viele Zweikämpfe, viel Pressing und Gegenpressing. Es ist dann meistens so, dass unheimlich viel zwischen den Strafräumen stattfindet. Beide Mannschaften haben auch sehr leidenschaftlich verteidigt. In der ersten Halbzeit hatten wir die besseren Chancen, in der zweiten Halbzeit Gladbach. Wenn das erste oder zweite Tor fällt, kann so ein Spiel mit unheimlich vielen Treffern ausgehen.","The performance was okay, we took another small step forward. There were many positive approaches, many things that we need for our game: We had some good ball wins and tried to find depth quickly, especially in the second half. But it wasn't often enough, we have to do that even better in the future, including the positional play. Overall, however, we didn't allow many chances and had three or four opportunities to decide the game for ourselves.","The two teams fought and pressed each other. There were a lot of duels, a lot of pressing and counter-pressing. It is usually the case that a lot takes place between the penalty rooms. Both teams defended very passionately. We had better chances in the first half, Gladbach in the second half. If the first or second goal is scored, a game like this can end up with an incredible number of hits."
"18.08.2019, 15:30",Eintracht Frankfurt,TSG Hoffenheim,1,0,15,9,250,567,92,99,63,83,107.43,109.15,"3,5","Insgesamt recht zäh und mit Auszeiten auf beiden Seiten, dafür mit einer durchaus spannenden Schlussphase.","All in all quite tough and with time-outs on both sides, but with a very exciting final phase.",Adolf Hütter,Alfred Schreuder,"Es ist ein ganz wichtiger Sieg. Wir haben eine starke Anfangsphase gehabt. Danach hatte Hoffenheim mehr vom Spiel. Wir hätten früher das 2:0 machen müssen, aber ich bin natürlich sehr glücklich.","Glückwunsch an Frankfurt. Am Ende ist es verdient. Der Rückstand nach 36 Sekunden war nicht gut. Wir sind nicht gut ins Spiel gekommen. Nach dem Gegentor hat es noch 15 Minuten gedauert. Danach wurde es besser. Es kann nicht sein, dass Hinteregger beim Tor so frei steht. Das sind wir selbst schuld. Ich kann den Jungs aber keinen Vorwurf machen. Wir haben so gespielt, wie wir es uns vorgenommen haben. Wir haben den Gegner dominiert und mutig gespielt.","It's a very important victory. We had a strong start. After that, Hoffenheim had more of the game. We should have made it 2-0 earlier, but of course I'm very happy.","Congratulations to Frankfurt. In the end it is deserved. The gap after 36 seconds was not good. We didn't get into the game well. After conceding the goal, it took another 15 minutes. After that it got better. It cannot be that Hinteregger is so free at the goal. It's our own fault. But I can't blame the boys. We played the way we wanted to. We dominated our opponents and played bravely."
"18.08.2019, 18:00",1. FC Union Berlin,RB Leipzig,0,4,13,14,325,605,94,89,71,85,112.92,113.84,"2,5","Einseitige Partie, Leipzig mit gepflegtem Fußball, wurde aber nicht richtig gefordert.","One-sided game, Leipzig with well-groomed football, but was not really challenged.",Urs Fischer,Julian Nagelsmann,Wir haben in der ersten Halbzeit zu viele Geschenke gemacht. Es war auch in der Rückwärtsbewegung zu wenig konsequent. In der Zweikampfführung fehlte die Intensität und so wird es dann schwierig gegen einen Champions-League-Aspiranten.,"Es hätte auf jeden fall schlechter kommen können. Heute haben wir sehr gut bewiesen, dass wir Favorit waren. Wir haben heute gesehen, dass wir eine gute Mischung haben. Die Stimmung war außergewöhnlich gut, eine tolle Atmosphäre bei Union - auch nach dem Spiel noch.",We gave too many presents in the first half. It was not consistent enough in the backward movement either. In the duel there was a lack of intensity and so it will be difficult against a Champions League aspirant.,"In any case, it could have been worse. Today we showed very well that we were favorites. We saw today that we have a good mix. The mood was exceptionally good, a great atmosphere at Union - even after the game."
"23.08.2019, 20:30",1. FC Köln,Borussia Dortmund,1,3,13,14,232,675,80,85,66,87,115.12,114.44,"2,5","Intensive und sehr spannende Partie, die sich spielerisch aber lange nicht auf so hohem Niveau bewegte.",Intense and very exciting game that was playful but not at such a high level for a long time.,Achim Beierlorzer,Lucien Favre,"Ich kann meiner Mannschaft zu der Leistung eigentlich nur gratulieren. Schade, dass wir ohne Zählbares aus dem Spiel gehen. Wir haben uns am Ende um den Lohn gebracht. Die verletzungsbedingte Auswechslung von Jhon Cordoba war sehr bitter für uns. Wir lassen gegen einen Topgegner bis zur 78. Minute wenig zu. Wir müssen den Glauben an diese Spielweise weiter in uns tragen. Wir haben gesehen, was mit dieser Spielweise möglich ist. Wir werden beharrlich an uns arbeiten. Dann bin ich überzeugt, dass wir uns die Punkte erspielen und verdienen, die für unser Ziel ausreichen.","Wir sind sehr zufrieden mit diesem Sieg, es war ein sehr schweres Spiel. Köln war stark beim Pressing und in der Balleroberung.",I can only congratulate my team on their performance. It's a shame we're going out of the game without anything counting. We lost our wages in the end. The injury-related replacement of Jhon Cordoba was very bitter for us. We allow little against a top opponent up to the 78th minute. We have to keep believing in this way of playing within us. We saw what is possible with this style of play. We will persistently work on ourselves. Then I am convinced that we will earn and earn the points that are sufficient for our goal.,"We are very happy with this win, it was a very difficult game. Cologne was strong in pressing and conquering the ball."
