date,name_home_team,name_away_team,score_home,score_away,shots_home,shots_away,passes_home,passes_away,misplaced_passes_home,misplaced_passes_away,pass_accuracy_home,pass_accuracy_away,distance_home,distance_away,grade,summary_german,summary_english,coach_home,coach_away,interview_home,interview_away,interview_home_english,interview_away_english
"24.08.2018, 20:30",Bayern München,TSG Hoffenheim,3.0,1.0,16.0,8.0,559.0,277.0,78.0,69.0,86.0,75.0,115.42,119.28,"2,5",Intensives Spiel mit hohem Unterhaltungswert.,Intense game with a high entertainment value.,Niko Kovac,Julian Nagelsmann,"Die Zuschauer haben hier ein ordentliches Spiel gesehen, und unser Sieg ist auch in der Höhe vollauf verdient, wenn man auf die Chancen schaut. Aber so deutlich war es im Spiel nicht, Hoffenheim hat es uns schwer gemacht, zwischenzeitlich haben wir keine Mittel gefunden. Der Elfmeter war nicht glasklar, ich hätte ihn nicht gegeben.","Wir haben in der ersten Halbzeit nicht das Spiel gemacht, das wir brauchen, um hier zu bestehen. In der zweiten Hälfte haben wir dann brutalen Druck gemacht, bis es zum Elfmeter kam, der keiner war. Ich weiß nicht, wo die Videoassistenten in Köln da gerade waren, anscheinend waren sie nicht am Platz. Warum das Zustandekommen des Elfmeters nicht kontrolliert wird, ist mir ein Rätsel. Fußball ist ein Kontaktsport. Wenn dem Stürmer zwar der Weg geblockt wird, es aber keinen Kontakt gibt, dann ist es kein Foul. Das ist grenzwertig.","The spectators saw a decent game here, and our win is well deserved at the height, if you look at the chances. But it wasn't that clear in the game, Hoffenheim made it difficult for us, in the meantime we haven't found any means. The penalty wasn't crystal clear, I wouldn't have given it.","We didn't play the game in the first half that we need to be here. In the second half we then put brutal pressure on until we got a penalty that wasn't one. I don't know where the video assistants were in Cologne, apparently they weren't at their place. Why the penalty kick is not controlled is a mystery to me. Football is a contact sport. If the striker's path is blocked but there is no contact, then it is not a foul. That is borderline."
"25.08.2018, 15:30",Hertha BSC,1. FC Nürnberg,1.0,0.0,10.0,11.0,446.0,468.0,91.0,104.0,80.0,78.0,113.78,117.57,"3,5","Spannende Partie, die sich fußballerisch allerdings auf mittelmäßigem Niveau bewegte und manche Länge hatte.","Exciting game, which, however, was at a mediocre level in terms of football and was quite lengthy.",Pal Dardai,Michael Köllner,"Nürnberg war eine sehr gut organisierte, clevere Mannschaft. In der ersten Halbzeit hat uns durch das neue System ein wenig der Mut gefehlt, dennoch sind wir in Führung gegangen. In der Pause haben wir einiges umgestellt. Wir sind sehr zufrieden, dass wir das Spiel zu Ende gebracht haben. Das ist wichtig für die junge Mannschaft.","Wir wollten heute einen guten Auftakt in der ersten Liga machen. Ich denke, das ist uns gelungen. Wir haben einen überzeugenden und couragierten Auftritt hingelegt. Wir haben sicherlich die ein oder andere Chance nicht verwertet. Die guten Standards von Hertha konnten wir nur schwierig verteidigen. Uns muss in den nächsten Monaten und Wochen nicht bange sein.","Nürnberg was a very well organized, clever team. In the first half we lacked courage due to the new system, but we still took the lead. We changed a few things during the break. We are very happy that we finished the game. That is important for the young team.",We wanted to get off to a good start in the first division today. I think we succeeded. We made a convincing and courageous performance. We certainly didn't take advantage of one or the other chance. We found it difficult to defend Hertha’s good standards. We don't have to worry about the next few months and weeks.
"25.08.2018, 15:30",Werder Bremen,Hannover 96,1.0,1.0,14.0,13.0,539.0,445.0,95.0,88.0,82.0,80.0,121.5,123.6,"3,0",Nach langem Abtasten erst im zweiten Durchgang mit mehr Schwung und Torszenen.,"After a long palpation, only in the second round with more momentum and goal scenes.",Florian Kohfeldt,André Breitenreiter,"Wir haben nur eine Großchance zugelassen - das war das Tor. Das ist ärgerlich. Insgesamt war es eine gute Leistung mit Makeln. Uns hat der letzte Zug gefehlt. Wir wollen unsere Heimspiele gewinnen, deshalb sind wir heute auch nicht zufrieden.","Wir haben ein leistungsgerechtes Unentschieden gesehen. Wir können zufrieden sein, haben guten Fußball gespielt, aber im Umschaltspiel auch etwas liegen lassen. Am Ende haben wir nicht mehr gut nach vorne verteidigt und viele Flanken zugelassen.","We only allowed one big chance - that was the goal. That's annoying. Overall, it was a good performance with flaws. We missed the last train. We want to win our home games, so we're not satisfied today.","We saw a performance-based draw. We can be satisfied, we played good football, but we also left something behind in the transition game. In the end we didn't defend well and allowed a lot of crosses."
"25.08.2018, 15:30",SC Freiburg,Eintracht Frankfurt,0.0,2.0,22.0,10.0,417.0,384.0,108.0,110.0,74.0,71.0,121.89,124.77,"3,0","Zwischendurch immer mal wieder Leerlauf, insgesamt aber ein unterhaltsames Spiel mit vielen Torraumszenen.","Every now and then idle, but overall an entertaining game with many goal area scenes.",Lars Voßler,Adolf Hütter,"Es ist schade, dass wir am Ende ohne Punkte dastehen. Aber es geht weiter. Für mich war es das erste Bundesliga-Spiel in dieser Funktion, das hat sich gut angefühlt.","Es tut gut bei so einem heimstarken Team wie dem SC Freiburg, mit einem Sieg zu starten. Aber trotz des Siegs ist klar, dass wir weiter hart arbeiten und uns weiter verbessern müssen. Die drei Punkte waren Balsam.","It's a shame that we ended up with no points. But it goes on. For me it was the first Bundesliga game in this role, that felt good.","With a strong home team like SC Freiburg, it's good to start with a win. But despite the win, it is clear that we have to keep working hard and keep improving. The three points were balm."
"25.08.2018, 15:30",VfL Wolfsburg,FC Schalke 04,2.0,1.0,10.0,9.0,428.0,298.0,103.0,104.0,76.0,65.0,110.85,106.01,"3,0","Umkämpft, nach der Pause zunehmend intensiv, in der Schlussphase hochspannend. Die spielerische Klasse litt jedoch unter der Hektik.","Contested, increasingly intense after the break, extremely exciting in the final phase. The playful class, however, suffered from the hectic pace.",Bruno Labbadia,Domenico Tedesco,"Es war ein extrem intensives Spiel. Ich freue mich sehr für unsere Mannschaft, das tut ihr gut. Sie hat extrem geackert, da tun solche Erfolgserlebnisse gut. Wir haben uns den Sieg erarbeitet, und da braucht es auch ein Quäntchen Glück gegen eine Top-Mannschaft wie Schalke.","Wir haben in den ersten 15 Minuten ein gutes Spiel gemacht, anschließend gehörte die 1. Halbzeit komplett Wolfsburg. Nach dem 1:1 hatten wir sogar die Führung auf dem Fuß, und dann verlierst Du noch. Wir nehmen das Positive mit und freuen uns auf nächste Woche.","It was an extremely intense game. I'm very happy for our team, it's good for them. She worked extremely hard, so such successes are good. We worked our way to victory, and you need a bit of luck against a top team like Schalke.","We played a good game in the first 15 minutes, then the first half belonged entirely to Wolfsburg. After the 1-1 draw we even had the lead on our feet, and then you lose. We take the positive with us and look forward to next week."
"25.08.2018, 15:30",Fortuna Düsseldorf,FC Augsburg,1.0,2.0,8.0,14.0,447.0,422.0,99.0,100.0,78.0,76.0,117.67,116.98,"4,0","Intensive Partie mit vielen kämpferischen Elementen, spielerisch allerdings nur selten überzeugend.","Intense game with many combative elements, but rarely convincing in terms of play.",Friedhelm Funkel,Manuel Baum,"Wir haben am Anfang große Schwierigkeiten gehabt, sind dann aber nach 20 Minuten besser ins Spiel gekommen. Nach der Pause war es ein offener Schlagabtausch. Wir haben gezeigt, dass wir in der Bundesliga mithalten können.","Wir sind richtig gut in die Partie gekommen und haben uns gute Chancen erspielt. Wir gehen dann mit einem Rückstand in die Kabine, der nicht verdient war. Die zweite Hälfte war ausgeglichen. Wir sind sehr glücklich, dass wir gewonnen haben und auch im achten Versuch erstmals ein Auftaktspiel gewonnen haben.","We had great difficulties at the beginning, but then got into the game better after 20 minutes. After the break it was an open exchange of blows. We have shown that we can keep up in the Bundesliga.",We started the game really well and created good chances. We then go into the locker room with a deficit that was not deserved. The second half was even. We're very happy that we won and that we won an opening game for the first time in our eighth attempt.
"25.08.2018, 18:30",Bor. Mönchengladbach,Bayer 04 Leverkusen,2.0,0.0,18.0,14.0,478.0,497.0,69.0,71.0,86.0,86.0,122.77,119.0,"2,0","Ein in vielen Phasen hochklassiges und temporeiches Spiel, das in der zweiten Hälfte durch zahlreiche Chancen zusätzlich an Attraktivität gewann.","A high-class and fast-paced game in many phases, which became even more attractive in the second half thanks to numerous opportunities.",Dieter Hecking,Heiko Herrlich,"Ich bin froh, dass wir so gestartet sind. Wir haben in der zweiten Halbzeit früher angegriffen, das hat hervorragend geklappt. Heute ist das neue System perfekt aufgegangen. Das macht Spaß.","Wir haben es in der ersten Halbzeit gut gemacht, nur unsere glasklaren Chancen nicht genutzt. Dann bricht uns der Elfer ein Stück weit das Genick, das darf so nicht passieren. Beim 2:0 machen wir es Gladbach viel zu leicht.",I'm glad we started like this. We attacked earlier in the second half and that worked out brilliantly. Today the new system worked perfectly. That is fun.,"We did well in the first half, but we didn't take advantage of our crystal clear chances. Then the 911 breaks our necks a little, it shouldn't happen like that. At 2-0 we make it much too easy for Gladbach."
"26.08.2018, 15:30",1. FSV Mainz 05,VfB Stuttgart,1.0,0.0,10.0,12.0,403.0,453.0,102.0,109.0,75.0,76.0,113.15,110.96,"4,5","Viel Stückwerk, einige Fehler und wenige Torraumszenen. Aber immerhin mit einer spannenderen Schlussphase.","Much patchwork, a few mistakes and a few goal area scenes. But at least with a more exciting final phase.",Sandro Schwarz,Tayfun Korkut,"Hintenraus haben wir etwas mehr Entschlossenheit gezeigt und eine gute Mentalität an den Tag gelegt. Ich freue mich für Anthony Ujah, der sich für eine tolle Trainingswoche belohnt hat. In der zweiten Halbzeit war es ein zähes Ringen. Aber wir hatten das Momentum. Das war ein Arbeitssieg.","Wir sind gut in die erste Halbzeit gekommen. Wir wussten, dass es ein schwieriges Spiel wird. Wir hatten die ein oder andere Möglichkeit, die wir nicht genutzt haben.","In the back, we showed a little more determination and had a good mentality. I'm happy for Anthony Ujah, who was rewarded for a great week of training. It was a tough struggle in the second half. But we had the momentum. That was a job win.",We got into the first half well. We knew it was going to be a difficult game. We had one or the other opportunity that we didn't use.
"26.08.2018, 18:00",Borussia Dortmund,RB Leipzig,4.0,1.0,10.0,11.0,383.0,437.0,88.0,88.0,77.0,80.0,118.74,115.08,"2,0","Insbesondere vor der Pause sehr hohes Tempo, insgesamt gehobenes Bundesliga-Niveau.","Especially before the break, very fast pace, overall high Bundesliga level.",Lucien Favre,Ralf Rangnick,"Die Leipziger waren besser als wir, vor allem am Anfang. Sie waren schneller, besser in den Zweikämpfen. Das war gefährlich. Wir haben nicht gut verteidigt. Trotzdem haben wir reagiert. Das 2:1 war glücklich, das 3:1 machen wir im richtigen Moment. Danach ist das Selbstvertrauen zurückgekommen. Aber es gibt viele Sachen zu korrigieren, viele taktische Dinge, viele Details. Am Ende heißt es 4:1, und es ist gut gelaufen für uns.","Es ist ein komisches Gefühl für uns. Wenn man in der Halbzeit auf die Anzeigetafel schaut - ich kann mich nicht erinnern, in den letzten Jahren ein so groteskes Spiel gesehen zu haben. Viel besser als wir in der ersten halben Stunde kann man nicht spielen. Danach haben wir einfach nicht gut verteidigt. Wir haben uns selber um den Lohn gebracht. Wir haben auch nach der Pause drei, vier große Möglichkeiten. Für uns ist es wichtig zu wissen, was wir hier alles richtig gemacht haben.","The people of Leipzig were better than us, especially at the beginning. They were faster, better in the duels. That was dangerous. We didn't defend well. Nevertheless, we responded. The 2: 1 was happy, the 3: 1 we do at the right moment. After that, self-confidence came back. But there are a lot of things to correct, a lot of tactical things, a lot of details. In the end it was 4: 1 and it went well for us.","It's a strange feeling for us. If you look at the scoreboard at halftime, I can't remember seeing such a grotesque game in the last few years. You can't play much better than we did in the first half hour. We just didn't defend well after that. We have deprived ourselves of our wages. We still have three or four big opportunities after the break. It is important for us to know what we have done right here."
"31.08.2018, 20:30",Hannover 96,Borussia Dortmund,0.0,0.0,7.0,9.0,582.0,454.0,115.0,108.0,80.0,76.0,125.48,125.18,"4,0",Eine intensiv geführte und von der Taktik geprägte Partie mit wenigen spielerischen Höhepunkten und Torraumszenen.,An intensely led game shaped by tactics with a few playful highlights and goal area scenes.,André Breitenreiter,Lucien Favre,"Wir sind mutig aufgetreten und haben uns dieses Unentschieden verdient. Es ist ein Resultat, mit dem wir sehr gut leben können. Die erste halbe Stunde war herausragend, aber auch danach waren wir immer präsent und haben es den Dortmundern schwer gemacht.","Das 0:0 ist okay für uns und geht in Ordnung. Unser Gegner war sehr gut organisiert und hat uns vor viele Probleme gestellt. Wir haben sehr gelitten. Was die Balleroberung angeht, haben wir im Training noch viel zu tun. In solchen Situationen sind wir noch zu überhastet.","We performed bravely and deserved this draw. It is a result that we can live with very well. The first half an hour was outstanding, but even after that we were always present and made it difficult for the Dortmunders.","The 0-0 is okay for us and it's okay. Our opponent was very well organized and presented us with a lot of problems. We suffered a lot. When it comes to winning the ball, we still have a lot to do in training. We are still too hasty in situations like this."
